Path,Severity
level_0_test/34_patch_2.jpg,0.0
level_0_test/IMG_20230623_143749_patch_1.jpg,0.0
level_0_test/IMG_20230623_144051_patch_5.jpg,0.0
level_0_test/7868_patch_4.jpg,0.0
level_0_test/321431255_patch_5.jpg,0.0
level_0_test/IMG_20230624_095854_patch_24.jpg,0.0
level_0_test/IMG_20230623_143134_patch_1.jpg,0.0
level_0_test/5634_patch_3.jpg,0.0
level_0_test/123eascxxzc_patch_1.jpg,0.0
level_0_test/IMG_20230623_143347_patch_2.jpg,0.0
level_0_test/IMG_20230624_095901_patch_15.jpg,0.0
level_0_test/32412_patch_4.jpg,0.0
level_0_test/23214132_patch_4.jpg,0.0
level_0_test/132467345_patch_1.jpg,0.0
level_0_test/4325_patch_2.jpg,0.0
level_0_test/432sdcxvxcv_patch_3.jpg,0.0
level_0_test/123214123sad_patch_4.jpg,0.0
level_0_test/13241324xasfd_patch_4.jpg,0.0
level_0_test/3fdg6hg_patch_2.jpg,0.0
level_0_test/123321_patch_1.jpg,0.0
level_0_test/324rwesfsv4_patch_5.jpg,0.0
level_0_test/123123_patch_5.jpg,0.0
level_0_test/IMG_20230624_0958152_patch_13.jpg,0.0
level_0_test/3fdg6hg_patch_4.jpg,0.0
level_0_test/134356_patch_2.jpg,0.0
level_0_test/324_patch_5.jpg,0.0
level_0_test/67746_patch_3.jpg,0.0
level_0_test/3432153125_patch_3.jpg,0.0
level_0_test/IMG_20230623_143043_patch_4.jpg,0.0
level_0_test/123412eascxz_patch_1.jpg,0.0
level_0_test/IMG_20230624_095859_patch_9.jpg,0.0
level_0_test/324qw_patch_4.jpg,0.0
level_0_test/1234132_patch_1.jpg,0.0
level_0_test/2134_patch_1.jpg,0.0
level_0_test/IMG_20230623_143113_patch_2.jpg,0.0
level_0_test/IMG_20230623_143005_patch_3.jpg,0.0
level_0_test/13q24_patch_4.jpg,0.0
level_0_test/3214wfgfsd_patch_2.jpg,0.0
level_0_test/2_patch_2.jpg,0.0
level_0_test/3321234_patch_4.jpg,0.0
level_0_test/324qw_patch_1.jpg,0.0
level_0_test/IMG_20230624_095847_patch_2.jpg,0.0
level_0_test/324rwesfsv4_patch_2.jpg,0.0
level_0_test/31241325_patch_1.jpg,0.0
level_0_test/2_patch_1.jpg,0.0
level_0_test/IMG_20230624_095837_patch_12.jpg,0.0
level_0_test/67746_patch_5.jpg,0.0
level_0_test/32452563567gh_patch_2.jpg,0.0
level_0_test/123124_patch_4.jpg,0.0
level_0_test/123eascxxzc_patch_5.jpg,0.0
