Path,Severity
good_level_0/018.png,0.0
good_level_0/014.png,0.0
good_level_0/007.png,0.0
good_level_0/009.png,0.0
good_level_0/019.png,0.0
good_level_0/003.png,0.0
good_level_0/012.png,0.0
good_level_0/016.png,0.0
good_level_0/011.png,0.0
good_level_0/006.png,0.0
good_level_0/001.png,0.0
good_level_0/008.png,0.0
good_level_0/013.png,0.0
good_level_0/005.png,0.0
good_level_0/020.png,0.0
good_level_0/004.png,0.0
good_level_0/017.png,0.0
good_level_0/002.png,0.0
good_level_0/010.png,0.0
good_level_0/000.png,0.0
good_level_0/015.png,0.0
thread_level_1/007.png,1.0
thread_level_1/009.png,1.0
thread_level_1/003.png,1.0
thread_level_1/006.png,1.0
thread_level_1/001.png,1.0
thread_level_1/008.png,1.0
thread_level_1/010.png,1.0
thread_level_1/005.png,1.0
thread_level_1/004.png,1.0
thread_level_1/002.png,1.0
glue_level_1/000.png,1.0
metal_contamination_level_1/007.png,1.0
glue_level_1/002.png,1.0
metal_contamination_level_1/009.png,1.0
metal_contamination_level_1/003.png,1.0
metal_contamination_level_1/006.png,1.0
metal_contamination_level_1/001.png,1.0
metal_contamination_level_1/008.png,1.0
metal_contamination_level_1/005.png,1.0
metal_contamination_level_1/004.png,1.0
metal_contamination_level_1/002.png,1.0
metal_contamination_level_1/010.png,1.0
glue_level_1/010.png,1.0
metal_contamination_level_1/000.png,1.0
thread_level_1/000.png,1.0
glue_level_1/009.png,1.0
glue_level_1/003.png,1.0
glue_level_1/006.png,1.0
glue_level_1/001.png,1.0
glue_level_1/008.png,1.0
glue_level_1/005.png,1.0
glue_level_1/004.png,1.0
glue_level_1/007.png,1.0
bent_level_2/005.png,2.0
bent_level_2/004.png,2.0
bent_level_2/010.png,2.0
bent_level_2/007.png,2.0
bent_level_2/009.png,2.0
bent_level_2/003.png,2.0
bent_level_2/011.png,2.0
bent_level_2/006.png,2.0
bent_level_2/001.png,2.0
bent_level_2/008.png,2.0
bent_level_2/002.png,2.0
bent_level_2/000.png,2.0
broken_level_3/008.png,3.0
broken_level_3/010.png,3.0
broken_level_3/002.png,3.0
broken_level_3/004.png,3.0
broken_level_3/005.png,3.0
broken_level_3/001.png,3.0
broken_level_3/006.png,3.0
broken_level_3/011.png,3.0
broken_level_3/003.png,3.0
broken_level_3/009.png,3.0
broken_level_3/000.png,3.0
broken_level_3/007.png,3.0
